transaction_id,amount,merchant,location,device_type,transaction_type,customer_age,timestamp,fraud
0,235.92,Apple,New York,pos,transfer,20,2023-07-31,0
1,39.75,Walmart,Berlin,mobile,withdrawal,63,2024-07-12,0
2,51.34,Apple,London,web,transfer,55,2023-12-30,0
3,25.13,Uber,New York,web,transfer,71,2023-02-16,0
4,117.17,Target,London,mobile,purchase,63,2023-10-08,0
5,257.33,Netflix,London,pos,purchase,31,2024-03-03,0
6,183.87,Uber,Sydney,pos,purchase,73,2024-12-16,0
7,485.5,Starbucks,New York,web,purchase,67,2023-05-27,0
8,55.47,Netflix,Berlin,web,transfer,36,2024-09-19,0
9,19.74,Starbucks,Sydney,mobile,transfer,62,2024-07-14,0
10,108.67,Netflix,London,mobile,purchase,40,2023-03-02,0
11,12.89,Airbnb,Berlin,mobile,purchase,48,2023-08-20,0
12,198.84,Amazon,Berlin,web,purchase,54,2024-11-30,0
13,17.67,Airbnb,New York,web,purchase,65,2023-08-08,0
14,177.58,Target,Delhi,mobile,withdrawal,63,2024-04-26,0
15,24.58,Starbucks,Berlin,mobile,purchase,69,2024-11-11,0
16,16.94,Apple,New York,web,purchase,47,2024-12-19,0
17,10.4,Amazon,Berlin,web,purchase,48,2023-09-17,0
18,298.0,Apple,London,mobile,purchase,53,2024-01-10,0
19,51.13,Airbnb,Tokyo,mobile,withdrawal,23,2023-04-08,0
20,58.79,Walmart,New York,mobile,withdrawal,57,2024-02-26,0
21,104.29,Amazon,Sydney,pos,purchase,40,2023-09-23,0
22,28.08,Starbucks,Berlin,pos,transfer,23,2023-07-07,0
23,220.97,Starbucks,Delhi,pos,withdrawal,58,2023-09-28,0
24,144.85,Target,London,pos,transfer,61,2024-08-08,0
25,94.53,Netflix,Sydney,mobile,purchase,66,2024-10-01,0
26,276.81,Target,Sydney,pos,withdrawal,55,2024-10-06,0
27,213.84,Amazon,Sydney,mobile,purchase,30,2023-09-25,0
28,477.76,Uber,Berlin,web,transfer,72,2024-05-19,0
29,128.83,Target,Tokyo,web,purchase,66,2023-11-24,0
30,373.96,Netflix,Sydney,mobile,purchase,21,2024-09-23,0
31,13.42,Uber,Delhi,pos,withdrawal,33,2023-11-29,0
32,76.76,Target,Berlin,web,purchase,56,2023-10-25,0
33,102.08,Apple,Delhi,pos,transfer,52,2023-06-05,0
34,131.12,Airbnb,New York,pos,purchase,31,2023-11-23,0
35,27.26,Uber,Tokyo,pos,withdrawal,38,2023-08-11,0
36,118.14,Apple,Delhi,mobile,transfer,27,2024-07-11,0
37,146.38,Starbucks,London,mobile,withdrawal,24,2023-10-04,0
38,3.69,Amazon,Tokyo,mobile,transfer,27,2023-09-07,0
39,35.94,Uber,Berlin,mobile,purchase,31,2023-09-22,0
40,141.07,Apple,New York,web,transfer,71,2024-12-06,0
41,117.88,Walmart,Sydney,pos,purchase,75,2024-07-19,0
42,31.97,Amazon,Berlin,pos,transfer,60,2023-10-21,0
43,164.75,Starbucks,Tokyo,pos,purchase,37,2024-11-19,0
44,51.5,Walmart,Sydney,web,transfer,59,2023-06-09,0
45,52.92,Target,London,mobile,withdrawal,18,2023-07-07,0
46,19.05,Apple,Tokyo,mobile,withdrawal,63,2023-03-02,0
47,10.24,Target,Berlin,mobile,transfer,75,2024-07-18,0
48,223.41,Uber,New York,pos,transfer,74,2024-11-27,0
49,224.8,Target,New York,web,purchase,56,2024-03-13,0
50,79.56,Airbnb,Delhi,pos,transfer,55,2024-01-11,0
51,65.23,Starbucks,Sydney,mobile,withdrawal,74,2024-10-11,0
52,0.24,Starbucks,London,web,withdrawal,58,2024-02-18,0
53,17.61,Netflix,New York,web,withdrawal,37,2024-06-14,0
54,63.43,Starbucks,Berlin,mobile,withdrawal,52,2023-06-13,0
55,101.41,Uber,Berlin,web,withdrawal,39,2023-11-26,0
56,140.01,Target,Delhi,mobile,transfer,59,2023-06-14,0
57,377.42,Netflix,London,pos,withdrawal,53,2023-10-02,0
58,25.53,Amazon,London,web,purchase,75,2023-12-12,0
59,163.64,Amazon,London,pos,purchase,20,2024-03-31,1
60,98.58,Walmart,Berlin,web,withdrawal,43,2024-01-26,0
61,3.89,Amazon,New York,web,purchase,34,2023-12-24,0
62,89.41,Netflix,Tokyo,pos,purchase,64,2023-02-10,0
63,67.27,Uber,London,pos,purchase,33,2023-09-02,0
